Time,Vsa,Isa,Pmax,Psa,Psaold,Dp
74,27.36240611,0.192481092,5.801373583,5.266745808,1.013748984,4.252996823
75,26.03489544,0.220029801,5.793884083,5.728452863,1.260430343,4.468022519
76,26.84276872,0.204864772,5.786399335,5.499137694,1.12657959,4.372558104
77,26.10346414,0.218414478,5.778919357,5.701374494,1.245262734,4.45611176
78,25.48561445,0.226054066,5.771444168,5.761126771,1.302326131,4.45880064
79,24.49810486,0.233287768,5.763973785,5.715108203,1.333264837,4.381843366
80,25.48418927,0.225442786,5.756508228,5.745226628,1.295219897,4.450006731
81,26.45844799,0.211320337,5.749047514,5.591208146,1.18153599,4.409672156
82,25.48276849,0.224830583,5.734140688,5.729305696,1.28812314,4.441182556
83,24.49507701,0.23194524,5.726686499,5.681516516,1.317800712,4.363715804
84,25.48134643,0.224217509,5.719237219,5.713364023,1.281036249,4.432327773
85,26.45591264,0.210268261,5.711792866,5.562838744,1.169688429,4.393150315
86,25.47992308,0.223603568,5.704364066,5.697401713,1.273959351,4.423442362
87,24.49204639,0.230600687,5.696949042,5.647882724,1.302405636,4.345477087
88,25.47849845,0.222988771,5.689538892,5.681419056,1.266892653,4.414526403
89,26.45336966,0.209211674,5.682133635,5.53435375,1.157851412,4.376502337
90,25.47707255,0.222373124,5.674733288,5.665416213,1.259836302,4.405579911
91,24.48901304,0.229254123,5.667337871,5.614207208,1.28708015,4.327127058
92,25.47564539,0.221756622,5.652561892,5.649393065,1.252790322,4.396602743
93,26.45081908,0.208150585,5.645181367,5.505753465,1.146025805,4.359727661
94,25.47421698,0.22113927,5.637797708,5.633349747,1.245754851,4.387594896
95,24.48597701,0.227905605,5.630419059,5.580491404,1.27182527,4.308666135
96,25.47278731,0.220521081,5.623045438,5.617286594,1.238730112,4.378556482
97,26.44826096,0.207085016,5.615676862,5.477038544,1.134212615,4.34282593
98,25.47135641,0.219902059,5.608313348,5.60120372,1.231716231,4.369487489
99,24.48293834,0.226555137,5.600954915,5.54673545,1.25664141,4.29009404
100,25.46992427,0.219282196,5.593601579,5.585100926,1.224713196,4.36038773
101,26.44569533,0.206014978,5.586253357,5.448209342,1.122412728,4.325796614
102,25.46849091,0.218661508,5.571572326,5.568978629,1.217721265,4.351257364
103,24.47989707,0.225202761,5.564231383,5.512940409,1.241529401,4.271411008
104,25.46705632,0.218039993,5.556895616,5.552836782,1.210740493,4.342096289
105,26.44312224,0.204940488,5.549583301,5.419266376,1.110627096,4.30863928
106,25.46562052,0.217417661,5.542276174,5.536675649,1.203771069,4.33290458
107,24.47685323,0.223848506,5.534974173,5.479107027,1.226489922,4.252617105
108,25.46418352,0.216794508,5.527677316,5.520495138,1.196813027,4.323682111
109,26.44054173,0.203861564,5.520385619,5.39021019,1.09885668,4.29135351
110,25.46274531,0.216170545,5.505817774,5.504295531,1.189866565,4.314428966
111,24.47380687,0.222492396,5.498533483,5.44523593,1.211523589,4.233712341
112,25.46130591,0.215545775,5.491254414,5.488076915,1.182931792,4.305145123
113,26.43795385,0.202778221,5.483980583,5.361041249,1.087102407,4.273938841
114,25.45986533,0.214920195,5.476712006,5.471839221,1.176008752,4.295830469
115,24.47075802,0.22113446,5.469448701,5.411327861,1.196631064,4.214696796
116,25.45842357,0.21429382,5.462190685,5.455582838,1.169097687,4.286485151
117,26.43535864,0.201690479,5.454937972,5.331760147,1.075365258,4.256394889
118,25.45698063,0.213666652,5.440448528,5.439307821,1.162198691,4.27710913
119,24.46770672,0.219774734,5.433203622,5.377383736,1.18181308,4.195570656
