Time	vsa	Isa	Vpmax
1	2.277704153	0.244546896	5.768656541
2	2.47940243	0.244613022	5.768656541
3	3.498932163	0.244507807	5.768656541
4	3.187502623	0.244681437	5.776287579
5	2.270693277	0.244981899	5.776287579
6	5.101791653	0.244497149	5.776287579
7	8.397699039	0.243915014	5.783921806
8	11.82201293	0.243305905	5.783921806
9	14.95901907	0.242755819	5.783921806
10	17.9746474	0.242214153	5.791559203
11	17.99889124	0.242317004	5.791559203
12	17.99996912	0.242425113	5.791559203
13	18.00001702	0.242533456	5.799199748
14	18.00001915	0.242641811	5.799199748
15	18.00001925	0.242750161	5.799199748
16	18.00001925	0.242858519	5.799199748
17	18.00001925	0.242966873	5.806843419
18	18.00001925	0.243075228	5.806843419
19	18.00001925	0.243183578	5.806843419
20	20.94755259	0.242413311	5.814492573
21	23.98665285	0.238107944	5.814492573
22	26.99233073	0.202686358	5.814492573
23	24.00873599	0.238231916	5.822144808
24	21.01385273	0.242814146	5.822144808
25	23.98998434	0.238507123	5.822144808
26	26.99243936	0.20296741	5.829800103
27	24.00873883	0.238642908	5.829800103
28	21.01385604	0.24324596	5.829800103
29	23.98987349	0.238918812	5.837458437
30	26.99243466	0.203250785	5.837458437
31	24.0087379	0.239053794	5.837458437
32	21.01385922	0.243677761	5.837458437
33	23.98976448	0.23933039	5.845122159
34	26.99243004	0.203533762	5.845122159
35	24.00873697	0.239464566	5.845122159
36	21.0138624	0.244109554	5.852788874
37	23.98965738	0.239741844	5.852788874
38	26.65951029	0.211296072	5.852788874
39	23.65773266	0.241047072	5.860458559
40	23.63491174	0.241217037	5.860458559
41	23.63373017	0.241324564	5.860458559
42	23.63336705	0.241429756	5.86814796
43	23.63303486	0.241534849	5.86814796
44	23.63270382	0.241639942	5.86814796
45	23.63237278	0.24174502	5.86814796
46	23.63204171	0.241850106	5.875849898
47	23.6317106	0.241955181	5.875849898
48	23.63137947	0.242060263	5.875849898
49	23.63104829	0.242165331	5.883554866
50	23.63071709	0.242270399	5.883554866
51	23.63038585	0.24237546	5.883554866
52	23.63005457	0.242480528	5.891262843
53	23.62972327	0.242585585	5.891262843
54	23.62939193	0.242690639	5.891262843
55	23.62906055	0.242795689	5.898973806
56	23.62872915	0.24290074	5.898973806
57	23.62839771	0.243005783	5.898973806
58	23.62806624	0.243110826	5.898973806
59	23.62773473	0.243215858	5.906690102
60	23.6274032	0.243320894	5.906690102
61	23.62846647	0.242967161	5.906690102
62	23.62958831	0.242612774	5.899207326
63	23.63070642	0.242258363	5.89164453
64	23.63182399	0.241903912	5.884086359
65	23.63294112	0.241549436	5.876532832
66	23.63405782	0.241194929	5.868983967
67	23.63517408	0.240840386	5.861439784
68	23.63628989	0.240485811	5.853907409
69	23.63740525	0.240131207	5.838883647
70	23.63852015	0.239776572	5.831378727
71	23.6396346	0.239421905	5.823870407
72	23.64074857	0.239067202	5.816366763
73	23.64186207	0.238712474	5.808867816
74	23.64297509	0.23835771	5.801373583
75	23.64408762	0.238002912	5.793884083
76	23.64519966	0.237648091	5.786399335
77	23.8407513	0.236712033	5.778919357
78	20.97033304	0.240182047	5.771444168
79	23.9879386	0.235515223	5.763973785
80	26.99262487	0.200439089	5.756508228
81	24.0087193	0.234745237	5.749047514
82	21.01378396	0.238708576	5.734140688
83	23.98956809	0.234117852	5.726686499
84	26.99324158	0.199429198	5.719237219
85	24.00874179	0.233354115	5.711792866
86	21.01377417	0.237255176	5.704364066
87	23.98963002	0.232725018	5.696949042
88	26.99246985	0.198447683	5.689538892
89	24.0087181	0.231962069	5.682133635
90	21.01376272	0.235801693	5.674733288
91	23.98994673	0.231330251	5.667337871
92	26.99253316	0.197442901	5.652561892
93	24.00872215	0.230568855	5.645181367
94	21.01375239	0.234348118	5.637797708
95	23.99013303	0.229934905	5.630419059
