Time	V1	Duty	V3	V4	V5	vsa	Isa	Vpmax
1.0000000000000007	0.68414466949016406	0	1.2777041527010859	1	0	2.2777041527010859	0.24454689562247722	5.7686565412053223
1.9999999999998905	0.88325587073947265	0	0.39114958535492916	1	0	1.3911495853549292	0.24484101857069618	5.7686565412053223
2.9999999999997806	1.091818464197893	1	1.0842560170541846	1	0	2.0842560170541846	0.24480419158479094	5.7686565412053223
3.9999999999996705	1.2645830389637616	1	0.92365547051393926	1	0	1.9236554705139393	0.24494622219428663	5.7762875785204191
5.0000000000000044	1.5446380796785881	1	3.484934051581142	2	0	1.8283113505270474	0.24507458107336788	5.7762875785204191
6.0000000000003384	1.5421654190107885	1	2.4119616898924923	3	0	1.8039872299641642	0.2451880607434731	5.7762875785204191
7.0000000000006724	1.336274654005986	1	-0.1544978007993898	2	0	1.8455021992006102	0.24528774655863117	5.7839218061327005
8.0000000000010054	1.3350262429848205	1	-1.0611833287660748	3	0	1.9388166712339252	0.24537658038781274	5.7839218061327005
9.0000000000004512	1.1906469239705322	1	-1.9358597555526726	4	0	2.0641402444473274	0.24545870758174715	5.7839218061327005
9.999999999999897	0.94173224568810254	1	-1.8005114865247625	4	0	2.1994885134752375	0.24553873467780818	5.7915592028997143
10.999999999999343	0.73703012192411621	0	-1.6136427066701358	4	0	2.3863572933298642	0.24560796774153459	5.7915592028997143
11.999999999998789	0.65091995253235313	0	-0.62820528304834111	4	0	3.3717947169516589	0.24550989641269894	5.7915592028997143
12.999999999998234	0.57915919971220708	0	-0.8441523429459683	4	0	3.1558476570540317	0.24566352196941921	5.7991997476123469
13.99999999999768	0.59875020333835605	0	0.40121585214274713	4	0	4.4012158521427471	0.24551099286895806	5.7991997476123469
14.999999999997126	0.58892822899837849	0	0.46890356206791051	4	0	4.4689035620679105	0.24560519484850829	5.7991997476123469
15.999999999996572	0.56688059883102249	0	0.044307051745894555	4	0	4.0443070517458946	0.24580253477068936	5.7991997476123469
16.999999999997794	0.5397819481774	0	-0.61428451084680935	4	0	3.3857154891531906	0.24604889770074578	5.806843418994851
17.999999999999016	0.56145211096699488	0	-0.05313620898652216	4	0	3.9468637910134778	0.24603971704451055	5.806843418994851
19.000000000000238	0.54616942759950937	1	-0.40137345729936857	5	0	4.5986265427006314	0.24601155157455423	5.806843418994851
20.00000000000146	0.73896130245756064	1	6.2212608799331832	6	0	4.0737536266443941	0.24622990046907489	5.8144925728056336
21.000000000002682	0.42911253810327488	1	0.46653143401430164	5	0	5.4665314340143016	0.24604648718451472	5.8144925728056336
22.000000000003904	0.77346608557974661	1	8.4271113562196227	6	0	4.8090371187398739	0.24629262007636044	5.8144925728056336
23.000000000005127	0.41732008504220741	1	0.44664821690582635	5	0	5.4466482169058263	0.2462674206782367	5.8221448080144862
24.000000000006349	0.4301222146580177	1	-0.19418399638837336	6	0	5.8058160036116266	0.24630055595054046	5.8221448080144862
25.000000000007571	0.36389988131561685	1	-0.84109153931986924	7	0	6.1589084606801308	0.24633496309434122	5.8221448080144862
26.000000000008793	0.27907947292612661	1	-1.6351233684251945	8	0	6.3648766315748055	0.2464001953583761	5.8298001031330404
27.000000000010015	0.21861035428965875	1	-1.973261251285753	9	0	7.026738748714247	0.24636991380333484	5.8298001031330404
28.000000000011237	0.23576355228822579	1	-0.65474598732872025	10	0	9.3452540126712798	0.24599254544455107	5.8298001031330404
29.000000000012459	0.19382289656791224	1	-1.0481219833702298	11	0	9.9518780166297702	0.24597382974889115	5.8374584366064433
30.000000000013682	0.17184489127441316	1	-1.0362249307897926	12	0	10.963775069210207	0.24587019176181002	5.8374584366064433
31.000000000014904	0.15437415042847463	1	-1.0078897240183711	13	0	11.992110275981629	0.24576307566803735	5.8374584366064433
32.000000000016122	0.13879350173656343	1	-1.0171957066635962	14	0	12.982804293336404	0.24566376310986016	5.8374584366064433
33.000000000013792	0.12588057010319448	1	-1.0155821009704393	15	0	13.984417899029561	0.24556196009939413	5.8451221588458182
34.000000000011461	0.11472867706663079	1	-1.0127821496404561	16	0	14.987217850359544	0.24545941812448291	5.8451221588458182
35.00000000000913	0.10493561133375989	1	-1.0106813667847216	17	0	15.989318633215278	0.24535581211182489	5.8451221588458182
36.0000000000068	0.096262298688958012	1	-1.0090850155809363	18	0	16.990914984419064	0.24524936392822383	5.8527888735749807
37.000000000004469	0.088523713610699412	1	-1.0078417876945025	19	0	17.992158212305497	0.24513574459206211	5.8527888735749807
38.000000000002139	0.081573183234357555	1	-1.0068598383255853	20	0	18.993140161674415	0.24500450379605354	5.8527888735749807
38.999999999999808	0.11692167674612816	0	-0.0026626484563188058	20	0	19.997337351543681	0.24482903171474391	5.8604585590269007
39.999999999997478	0.11690764967589616	0	-9.2655126753271588e-05	20	0	19.999907344873247	0.24493641603839933	5.8604585590269007
40.999999999995147	0.11690933419384759	0	1.1847927076757969e-05	20	0	20.000011847927077	0.24504458195906409	5.8604585590269007
41.999999999992816	0.11691165762143718	0	1.6097731847963814e-05	20	0	20.000016097731848	0.245152790512293	5.8681479597517354
42.999999999990486	0.11691400709424775	0	1.6271003076440138e-05	20	0	20.000016271003076	0.24526099196009454	5.8681479597517354
43.999999999988155	0.11691635768849004	0	1.6278473506048385e-05	20	0	20.000016278473506	0.24536920051332345	5.8681479597517354
44.999999999985825	0.11691870839250404	0	1.6279217604164842e-05	20	0	20.000016279217604	0.24547739840841132	5.8681479597517354
45.999999999983494	0.11692105916449255	0	1.6279688093590039e-05	20	0	20.000016279688094	0.24558560340892654	5.8758498981833238
