Time,Vsa,Isa,Pmax,Psa,Psaold,dp
73,18.09248829,0.953984166,17.38831919,17.25994735,16.58818119,0.671766168
74,18.09583438,0.955137953,17.41403201,17.2840182,16.63280288,0.651215315
75,18.09910674,0.956269638,17.44300513,17.30762625,16.6802162,0.627410049
76,18.10230791,0.9573799,17.46805032,17.33078573,16.72356026,0.607225471
77,18.06078054,0.961332823,17.49283207,17.36242115,16.81643364,0.545987509
78,19.03152465,0.899833804,17.51730719,17.12520922,15.76266516,1.362544052
79,18.13165202,0.95929024,17.54148009,17.39351682,16.82737065,0.566146176
80,17.22764727,1.018526238,17.5653408,17.54681075,17.89076048,-0.343949728
81,16.31937252,1.077472664,17.59232886,17.58367778,18.95525344,-1.371575659
82,15.40657886,1.136049454,17.61562621,17.50263549,20.01222253,-2.509587038
83,16.32676992,1.079882914,17.63536104,17.63099987,19.04412507,-1.413125197
84,17.24059265,1.022857308,17.65815267,17.63466619,18.06177051,-0.427104318
85,18.14884967,0.96516299,17.68067593,17.51659801,17.06473404,0.451863968
86,17.24666027,1.024905675,17.70297338,17.67619999,18.14387788,-0.46767789
87,16.34057347,1.084429684,17.72499736,17.72020292,19.22151328,-1.501310358
88,15.43045185,1.143670024,17.74365447,17.64734525,20.29288575,-2.645540499
89,16.34702374,1.086577051,17.76520136,17.76230084,19.3032601,-1.540959257
90,17.258068,1.028789537,17.78648505,17.75491979,18.29854972,-0.543629928
91,16.35320098,1.088646741,17.80453681,17.80285895,19.38285096,-1.579992016
92,15.44455212,1.148266339,17.8254108,17.73445932,20.4683192,-2.733859885
93,16.35912152,1.090643195,17.8431132,17.84196456,19.46046999,-1.618505427
94,17.26860471,1.032414072,17.86353476,17.82835051,18.44256467,-0.614214157
95,16.36480326,1.092570297,17.88085368,17.87969796,19.53608962,-1.656391654
96,15.45743041,1.152528085,17.89798885,17.81512268,20.62793482,-2.812812144
97,16.37025955,1.09443183,17.91777753,17.91613312,19.60978606,-1.693652943
98,17.27837012,1.035805131,17.93455981,17.89702442,18.57670907,-0.679684652
99,16.37550565,1.096231102,17.95118425,17.95133861,19.6786465,-1.727307883
100,15.46924567,1.156492221,17.96766377,17.89006228,20.77946339,-2.889401104
101,16.38055251,1.09797136,17.98669421,17.98537752,19.7488751,-1.763497584
102,17.28744897,1.038984973,18.00283271,17.96139969,18.70467265,-0.743272955
103,16.38541326,1.099655432,18.01881606,18.01830869,19.81448895,-1.796180253
104,15.48013003,1.160190056,18.03464563,17.95989293,20.92361653,-2.9637236
105,16.39009688,1.101286134,18.05032281,18.05018644,19.87857023,-1.828383796
106,17.29591341,1.041972912,18.06584895,18.02187325,18.82412522,-0.802251977
107,16.3946148,1.102865898,18.08122538,18.08106157,19.94116687,-1.860105296
108,15.49019402,1.163648323,18.09645344,18.02513829,21.05790769,-3.032769404
109,16.39897437,1.104397207,18.11153445,18.11098148,20.00232806,-1.891346575
110,17.30382528,1.044785773,18.12398696,18.07879046,18.93568372,-0.856893256
111,16.40318562,1.105882138,18.1388247,18.13998998,20.05940223,-1.919412251
112,15.4995307,1.16689003,18.15353401,18.08624784,21.18317784,-3.096930002
113,16.40725461,1.107322877,18.16810005,18.16812837,20.11795282,-1.949824446
114,17.31123791,1.047438349,18.1801265,18.13245446,19.0425617,-0.910107232
115,16.41119019,1.108721239,18.19444671,18.19543513,20.1725695,-1.977134376
116,15.50821893,1.169935109,18.20862684,18.1436098,21.30291182,-3.159302017
117,16.41499733,1.11007915,18.22033425,18.22194629,20.22601316,-2.004066868
118,17.31819756,1.049943666,18.23427372,18.18313183,19.1449602,-0.961828364
119,16.41868395,1.111398205,18.2457821,18.24769588,20.27832948,-2.0306336
120,15.51632601,1.172800932,18.25948396,18.1975616,21.41473981,-3.217178202
121,16.42101285,1.112225544,18.2637493,18.26386995,20.3134085,-2.049538551
122,17.32247661,1.051477962,18.26584433,18.21420241,19.20613278,-0.991930366
123,16.42204045,1.112587803,18.2700204,18.27096191,20.32700186,-2.056039952
124,15.51860252,1.173591746,18.27418025,18.21250384,21.44642711,-3.233923273
125,16.42305656,1.112946695,18.27625672,18.27798651,20.34049951,-2.062513002
126,17.32432881,1.052137023,18.28039579,18.22756773,19.23348121,-1.005913475
127,16.42406307,1.113302144,18.28451874,18.28494462,20.35619391,-2.071249282
128,15.52082222,1.174367533,18.28657676,18.2271497,21.47516204,-3.248012341
129,16.42505839,1.113654296,18.29067903,18.29183683,20.36949327,-2.077656439
130,17.32614463,1.052784018,18.29476526,18.24068816,19.26043648,-1.019748322
131,16.42604442,1.114003091,18.29680493,18.29866425,20.38269725,-2.084032995
132,15.52299463,1.1751284,18.30087059,18.24151184,21.50587278,-3.264360933
133,16.42701955,1.114348677,18.30492032,18.30542751,20.39806375,-2.09263624
134,17.32792506,1.053419243,18.30694174,18.2535697,19.28488472,-1.031315012
135,16.42798568,1.114690985,18.31097099,18.31212754,20.41107428,-2.098946746
136,15.5251212,1.175874736,18.3149844,18.2555978,21.53612745,-3.280529653
137,16.42894119,1.115030173,18.31698767,18.31876514,20.42399393,-2.105228791
138,17.32967103,1.054042958,18.3209807,18.26621771,19.31110069,-1.044882978
139,16.42988798,1.115366157,18.324958,18.32534101,20.43903797,-2.113696963
