Time,vsa,Isa,Vpmax
139,20.03830632,0.217122818,5.246503542
140,10.1730264,0.218853506,5.232300537
141,19.94417526,0.216295074,5.225202424
142,30.02060222,0.0805398841,5.218111301
143,20.03817393,0.215413287,5.203950091
144,10.172372,0.217142155,5.196870339
145,19.94493258,0.214585114,5.182732003
146,30.02184853,0.0798437298,5.175673454
147,20.03824357,0.213703654,5.168612292
148,10.17196862,0.215430752,5.154511318
149,19.94539805,0.212875204,5.147461815
150,30.02281577,0.0791572852,5.140419466
151,20.03830378,0.211993992,5.126356297
152,10.17185649,0.213719286,5.119325771
153,19.94586361,0.211165261,5.105286376
154,30.02380084,0.0784669609,5.09826779
155,20.03836488,0.210284284,5.091256459
156,10.17209524,0.212007748,5.077265883
157,19.94632888,0.20945529,5.07028172
158,30.02479998,0.0777729134,5.056335076
159,20.03842675,0.208574544,5.049362873
160,10.17274793,0.210296122,5.042397935
161,19.94679247,0.207745277,5.028489913
162,30.02391642,0.0771605286,5.021537095
163,20.03842347,0.206864787,5.007653438
164,10.17379081,0.208584416,5.000712853
165,19.94725526,0.206035239,4.993779631
166,30.02453715,0.076476983,4.979935335
167,20.03847277,0.205154976,4.973014502
168,10.15114696,0.206877671,4.959195106
169,19.9479208,0.204325108,4.952286773
170,30.02517165,0.0757895577,4.938492497
171,20.03852286,0.203445126,4.931606584
172,10.14717633,0.205167016,4.924718362
173,19.94890422,0.202614867,4.91097155
174,30.02582317,0.0750981144,4.90411
175,20.03857384,0.201735251,4.890409311
176,10.14308682,0.203456384,4.883560388
177,19.95013828,0.200904523,4.869885072
178,30.02733968,0.0743649267,4.863058708
179,20.03865521,0.200025323,4.856230068
180,10.13884018,0.201745785,4.842595477
181,19.94958471,0.199556577,4.842595477
182,30.02873924,0.0739110249,4.842595477
183,20.03875696,0.199401839,4.835899471
184,10.13791588,0.201484587,4.835899471
185,19.94968513,0.199295719,4.835899471
186,30.02959404,0.07375791,4.835899471
187,20.03879098,0.199141017,4.835899471
188,10.13725619,0.201223699,4.829274617
189,19.94977853,0.199034858,4.829274617
190,30.02868537,0.0736829442,4.829274617
191,20.03876374,0.198880208,4.829274617
192,10.13659005,0.200962811,4.822654103
193,19.94987177,0.198774007,4.822654103
194,30.02931339,0.0735397734,4.822654103
195,20.03878989,0.198619382,4.822654103
196,10.13591936,0.200701924,4.816039455
197,19.94996536,0.198513145,4.816039455
198,30.03077217,0.0733597432,4.816039455
199,20.03884492,0.198358549,4.816039455
200,10.13524312,0.20044104,4.816039455
201,19.95005916,0.198252291,4.809429165
202,30.03090555,0.0732384002,4.809429165
203,20.03885389,0.19809773,4.809429165
204,10.13453558,0.200180159,4.809429165
205,19.95015316,0.197991422,4.802823242
206,30.03294981,0.0730323961,4.802823242
207,20.0389293,0.19783689,4.802823242
208,10.13383049,0.199919279,4.802823242
209,19.95024744,0.197730564,4.796223211
210,30.02973608,0.0730590592,4.796223211
211,20.03882201,0.197576103,4.796223211
212,10.13311,0.199658404,4.796223211
213,19.95048658,0.197469664,4.796223211
214,30.02996023,0.0729334779,4.789627564
215,20.03883418,0.197315281,4.789627564
216,10.13239602,0.199397524,4.789627564
217,19.95057956,0.197208806,4.789627564
218,30.02789934,0.072908815,4.783036308
219,20.03876696,0.197054476,4.783036308
220,10.13167428,0.19913665,4.783036308
221,19.95067233,0.196947944,4.783036308
222,30.02800708,0.0727881968,4.776450972
223,20.0387751,0.196793657,4.776450972
224,10.13095617,0.198875773,4.776450972
225,19.9507654,0.196687086,4.776450972
226,30.02811495,0.0726675218,4.776450972
227,20.03878325,0.196532827,4.769870044
228,10.13023637,0.198614895,4.769870044
229,19.95085851,0.196426218,4.769870044
