Time	Pmax	V2	duty	V4	V5	V6	Vsa	Isa
1.0000000000000007	13.699584188966373	3.5993115476970678	0	0	1	0.91765488593244116	1.9176548859324412	0.78812637105407646
1.9999999999998905	13.790200060785994	5.3848783100087987	1	0	1	0.81691882298985719	1.8169188229898572	0.79758451931866148
2.9999999999997806	13.880227226839647	7.173176410606918	1	0	1	0.78953876809749679	1.7895387680974968	0.8070272936588907
3.9999999999996705	13.969624141412723	8.9642387022351642	1	0	1	0.83048517466339411	1.8304851746633941	0.81645574723232528
5.0000000000000044	14.058448111929275	10.718251465760202	1	0	2	-0.074508068786693249	1.9254919312133068	0.82587286720503528
6.0000000000003384	14.138662040654278	11.029988982660935	1	0	3	-0.9457562939770856	2.0542437060229144	0.83528290861778487
7.0000000000006724	14.22621661635695	9.8986148178765223	1	0	4	-1.8059543782814331	2.1940456217185669	0.84469062588965471
8.0000000000010054	14.305286745983313	7.3232668363398465	1	0	5	-2.6766129232549671	2.3233870767450329	0.8541005271922586
9.0000000000004512	14.383668312094558	3.303184671632982	1	0	6	-3.5751012627664092	2.4248987372335908	0.86351625405711729
9.999999999999897	14.469185458100487	0.4449302652944962	1	0	6	1.0845470709640104	7.0845470709640104	0.87196119391563798
10.999999999999343	14.546330638573858	0.44526399320598237	0	0	6	1.1065679698703192	7.1065679698703192	0.88139137766063413
11.999999999998789	14.62279021666815	0.4461341301795767	0	0	6	1.1186783779124729	7.1186783779124729	0.89082349941094208
12.999999999998234	14.698541819545976	0.44700394395563858	0	0	6	1.1307845871501625	7.1307845871501625	0.9002553138515168
13.99999999999768	14.773662736516265	0.4478734336828073	0	0	6	1.142886629778503	7.142886629778503	0.90968678012615101
14.999999999997126	14.840663983950758	0.44874260030338886	0	0	6	1.1549845073951124	7.1549845073951124	0.91911785471410212
15.999999999996572	14.914365027119173	0.44961144476683251	0	0	6	1.1670782201673155	7.1670782201673155	0.92854848698920023
16.999999999997794	14.980116656975847	0.45047996815696056	0	0	6	1.1791677669275682	7.1791677669275682	0.93797861833166962
17.999999999999016	15.052377249742852	0.45134817154412699	0	0	6	1.191253142797553	7.191253142797553	0.94740818568084251
19.000000000000238	15.116813320860476	0.41277205615767965	1	0	7	0.20333434119184979	7.2033343411918498	0.95683711442973163
20.00000000000146	15.180589889722011	0.35634725833334502	1	0	8	0.35638519665817192	8.3563851966581719	0.96593763565522295
21.000000000002682	15.250728619014629	0.31535005726162241	1	0	9	0.53343460474255622	9.5334346047425562	0.97484065264552555
22.000000000003904	15.313175434214372	0.28445616200398	1	0	10	0.62754301161333359	10.627543011613334	0.98328028741434537
23.000000000005127	15.374965031014938	0.25541160492458226	1	0	11	0.7300505060760667	11.730050506076067	0.99037765544096601
24.000000000006349	15.436085016280423	0.22711979254633477	1	0	12	0.84161411513966122	12.841614115139661	0.99405032827348805
25.000000000007571	15.496523771220097	0.20656546366290007	1	0	13	0.8854837454316602	13.88548374543166	0.99136557452084162
26.000000000008793	15.549677638034087	0.18813412465556106	1	0	14	0.90952065461447695	14.909520654614477	0.97865133596997111
27.000000000010015	15.608800133471066	0.17037058527926954	1	0	15	0.91844649919712218	15.918446499197122	0.95448811343601392
28.000000000011237	15.667266988680231	0.15296777135681452	1	0	16	0.90775020627183878	16.907750206271839	0.92054059663837506
29.000000000012459	15.718634470028951	0.13575416768978557	1	0	17	0.87622231848311571	17.876222318483116	0.87954943950308007
30.000000000013682	15.775728042900667	0.19764895637021662	1	0	16	2.825586908155703	18.825586908155703	0.83380023241375056
31.000000000014904	15.825934102600955	0.21527534769126117	1	0	15	2.8931309878225768	17.893130987822577	0.88466430270273122
32.000000000016122	15.875621119417985	0.15463029504057257	1	0	16	0.94891102936921357	16.948911029369214	0.93324077354850488
33.000000000013792	15.930773742436438	0.13699403983955408	1	0	17	0.90912294938650007	17.9091229493865	0.88948534937571822
34.000000000011461	15.979226021599207	0.19850871862326946	1	0	16	2.8517819810280471	18.851781981028047	0.84182580906144722
35.00000000000913	16.027105623614339	0.21646207291684277	1	0	15	2.9242510368631152	17.924251036863115	0.89403852143732365
36.0000000000068	16.074405606756457	0.23507085475707529	1	0	14	2.9858861777135033	16.985886177713503	0.94438616216052651
37.000000000004469	16.121207623226184	0.17534635137551913	1	0	15	1.0355132710643318	16.035513271064332	0.99219001725714406
38.000000000002139	16.167427912939136	0.15691492163062917	1	0	16	1.0029094002843202	17.00290940028432	0.94946233630821553
38.999999999999808	16.213054285214731	0.19452660324106352	0	0	16	1.9364448529901743	17.936444852990174	0.90328119028981746
39.999999999997478	16.258090768559423	0.19483805089100714	0	0	16	1.9427881011155783	17.942788101115578	0.90526119933542759
40.999999999995147	16.302627136621084	0.19514203171679731	0	0	16	1.9489631825425775	17.948963182542577	0.90719167644692789
41.999999999992816	16.341106364629642	0.19543869019865379	0	0	16	1.9549755633785111	17.954975563378511	0.90907465377654262
42.999999999990486	16.384544696556457	0.19572816896106743	0	0	16	1.9608307257594184	17.960830725759418	0.91091203557880362
43.999999999988155	16.422165779280373	0.19601061598160519	0	0	16	1.9665340036933792	17.966534003693379	0.91270562663225974
44.999999999985825	16.464548900232163	0.19628618354161625	0	0	16	1.9720905783665543	17.972090578366554	0.91445713934490414
45.999999999983494	16.501233774407329	0.19655502725964868	0	0	16	1.9775054753414771	17.977505475341477	0.916168186648747
46.999999999981164	16.542615774447171	0.19681730520073193	0	0	16	1.9827835622784882	17.982783562278488	0.91784030331609756
47.999999999978833	16.578368337383786	0.19707317708924782	0	0	16	1.9879295486301487	17.987929548630149	0.91947493885413678
